,START_DATE,END_DATE,CATEGORY,START,STOP,MILES,PURPOSE,day_wk,new_days,new_days_1
100,2/12/2016 15:33,2/12/2016 16:06,Business,Morrisville,Cary,11.5,Customer Visit,2016-02-12 15:33:00,4,Friday
101,2/13/2016 14:21,2/13/2016 14:41,Business,Cary,Morrisville,8.9,Meeting,2016-02-13 14:21:00,5,Saturday
102,2/13/2016 23:45,2/14/2016 0:01,Personal,East Elmhurst,Jackson Heights,2.7,Miscellaneous,2016-02-13 23:45:00,5,Saturday
103,2/14/2016 0:50,2/14/2016 1:00,Personal,Jackson Heights,East Elmhurst,1.8,Miscellaneous,2016-02-14 00:50:00,6,Sunday
104,2/14/2016 14:07,2/14/2016 14:40,Business,East Elmhurst,New York,8.1,Meeting,2016-02-14 14:07:00,6,Sunday
105,2/14/2016 14:46,2/14/2016 15:03,Business,Midtown,Midtown West,2.0,Meeting,2016-02-14 14:46:00,6,Sunday
106,2/14/2016 16:35,2/14/2016 17:02,Business,New York,Long Island City,13.0,Meeting,2016-02-14 16:35:00,6,Sunday
107,2/14/2016 17:06,2/14/2016 17:29,Business,Long Island City,Jamaica,13.9,Meeting,2016-02-14 17:06:00,6,Sunday
108,2/16/2016 3:21,2/16/2016 4:13,Business,Katunayaka,Unknown Location,43.7,Customer Visit,2016-02-16 03:21:00,1,Tuesday
109,2/16/2016 8:29,2/16/2016 9:34,Business,Unknown Location,Colombo,14.1,Miscellaneous,2016-02-16 08:29:00,1,Tuesday
110,2/16/2016 10:31,2/16/2016 10:41,Business,Colombo,Colombo,2.6,Miscellaneous,2016-02-16 10:31:00,1,Tuesday
111,2/16/2016 11:32,2/16/2016 12:02,Business,Colombo,Colombo,4.5,Miscellaneous,2016-02-16 11:32:00,1,Tuesday
112,2/16/2016 12:39,2/16/2016 12:42,Business,Colombo,Colombo,1.7,Miscellaneous,2016-02-16 12:39:00,1,Tuesday
113,2/16/2016 13:43,2/16/2016 13:55,Business,Colombo,Colombo,1.8,Temporary Site,2016-02-16 13:43:00,1,Tuesday
114,2/16/2016 16:34,2/16/2016 17:10,Business,Colombo,Colombo,6.0,Miscellaneous,2016-02-16 16:34:00,1,Tuesday
115,2/16/2016 17:17,2/16/2016 17:26,Business,Colombo,Nugegoda,1.1,Meal/Entertain,2016-02-16 17:17:00,1,Tuesday
